#x y z Bx By Bz
0 0 -2 4.27633e-06 0 4.26191
0 0 -1.51282 4.50428e-06 0 6.71681
0 0 -1.02564 4.74868e-06 0 9.89322
0 0 -0.538462 5.01101e-06 0 13.0745
0 0 -0.0512821 5.29295e-06 0 16.3831
0 0 0.435897 5.59635e-06 0 18.679
0 0 0.923077 5.92328e-06 0 19.5449
0 0 1.41026 6.27604e-06 0 19.1786
0 0 1.89744 6.65721e-06 0 17.381
0 0 2.38462 7.06968e-06 0 15.1481
0 0 2.87179 7.51669e-06 0 12.8988
0 0 3.35897 8.00188e-06 0 10.7728
0 0 3.84615 8.52935e-06 0 9.09409
0 0 4.33333 9.10372e-06 0 7.70693
0 0 4.82051 9.73021e-06 0 6.56263
0 0 5.30769 1.04147e-05 0 5.66454
0 0 5.79487 1.11639e-05 0 4.97069
0 0 6.28205 1.19852e-05 0 4.34523
0 0 6.76923 1.28873e-05 0 3.88531
0 0 7.25641 1.38796e-05 0 3.47508
0 0 7.74359 1.4973e-05 0 3.16238
0 0 8.23077 1.61794e-05 0 2.86927
0 0 8.71795 1.7512e-05 0 2.65239
0 0 9.20513 1.89848e-05 0 2.44767
0 0 9.69231 2.06124e-05 0 2.27952
0 0 10.1795 2.24082e-05 0 2.13925
0 0 10.6667 2.43822e-05 0 2.01632
0 0 11.1538 2.65352e-05 0 1.91036
0 0 11.641 2.8847e-05 0 1.82666
0 0 12.1282 3.12519e-05 0 1.73662
0 0 12.6154 3.35809e-05 0 1.67889
0 0 13.1026 3.54222e-05 0 1.64902
0 0 13.5897 3.57407e-05 0 1.60306
0 0 14.0769 3.16963e-05 0 1.5106
0 0 14.5641 1.42162e-05 0 1.49975
0 0 15.0513 -5.36742e-05 0 1.67792
0 0 15.5385 -0.000394021 0 1.76166
0 0 16.0256 -0.00325055 0 1.64463
0 0 16.5128 -0.0216393 0 1.60262
0 0 17 -0.0511426 0 1.53417
0.0421053 0 -2 -0.0973922 0 4.26148
0.0421053 0 -1.51282 -0.121141 0 6.71497
0.0421053 0 -1.02564 -0.142792 0 9.89377
0.0421053 0 -0.538462 -0.138542 0 13.0737
0.0421053 0 -0.0512821 -0.134092 0 16.3855
0.0421053 0 0.435897 -0.0640124 0 18.6817
0.0421053 0 0.923077 -0.0125949 0 19.5471
0.0421053 0 1.41026 0.047364 0 19.1815
0.0421053 0 1.89744 0.0985532 0 17.3816
0.0421053 0 2.38462 0.0929156 0 15.1481
0.0421053 0 2.87179 0.100638 0 12.8986
