#x y z Bx By Bz
-1.75 0 17 -0.0242704 0 0.00628555
-1.75 0 17.2769 -0.0242681 0 0.0100737
-1.75 0 17.5538 -0.0218976 0 0.0133532
-1.75 0 17.8308 -0.0181822 0 0.0150711
-1.75 0 18.1077 -0.0144208 0 0.0152489
-1.75 0 18.3846 -0.0112922 0 0.0144925
-1.75 0 18.6615 -0.00889721 0 0.0133441
-1.75 0 18.9385 -0.00710767 0 0.0121059
-1.75 0 19.2154 -0.00576759 0 0.0109096
-1.75 0 19.4923 -0.00475262 0 0.00980078
-1.75 0 19.7692 -0.00397386 0 0.00878794
-1.75 0 20.0462 -0.00336933 0 0.0078646
-1.75 0 20.3231 -0.00289585 0 0.00701872
-1.75 0 20.6 -0.00252345 0 0.00623639
-1.75 0 20.8769 -0.00223203 0 0.00550307
-1.75 0 21.1538 -0.00200999 0 0.00480416
-1.75 0 21.4308 -0.00185481 0 0.00412609
-1.75 0 21.7077 -0.00177454 0 0.00346094
-1.75 0 21.9846 -0.00178371 0 0.00281996
-1.75 0 22.2615 -0.0018695 0 0.00225003
-1.75 0 22.5385 -0.00192891 0 0.00178743
-1.75 0 22.8154 -0.00183728 0 0.0013333
-1.75 0 23.0923 -0.00165472 0 0.000723105
-1.75 0 23.3692 -0.00153273 0 -5.73187e-05
-1.75 0 23.6462 -0.00152067 0 -0.000955948
-1.75 0 23.9231 -0.00161152 0 -0.00196512
-1.75 0 24.2 -0.00180635 0 -0.00311573
-1.75 0 24.4769 -0.00213101 0 -0.00445064
-1.75 0 24.7538 -0.00262597 0 -0.00600334
-1.75 0 25.0308 -0.00330401 0 -0.00779232
-1.75 0 25.3077 -0.00407185 0 -0.00988035
-1.75 0 25.5846 -0.00468594 0 -0.012584
-1.75 0 25.8615 -0.00495638 0 -0.0168563
-1.75 0 26.1385 -0.00548033 0 -0.0246021
-1.75 0 26.4154 -0.00886603 0 -0.0383743
-1.75 0 26.6923 -0.0208208 0 -0.0602352
-1.75 0 26.9692 -0.0513161 0 -0.0906289
-1.75 0 27.2462 -0.120672 0 -0.125818
-1.75 0 27.5231 -0.2835 0 -0.117169
-1.75 0 27.8 -0.219654 0 0.117795
-1.75 0.0315789 17 -0.0242588 0.000438576 0.0062868
-1.75 0.0315789 17.2769 -0.0242563 0.000438569 0.0100724
-1.75 0.0315789 17.5538 -0.0218878 0.000395928 0.0133499
-1.75 0.0315789 17.8308 -0.0181754 0.000329118 0.0150671
-1.75 0.0315789 18.1077 -0.0144165 0.000261543 0.0152453
-1.75 0.0315789 18.3846 -0.0112895 0.000205423 0.0144897
-1.75 0.0315789 18.6615 -0.00889555 0.000162561 0.013342
-1.75 0.0315789 18.9385 -0.00710658 0.000130639 0.0121044
-1.75 0.0315789 19.2154 -0.00576685 0.000106847 0.0109084
-1.75 0.0315789 19.4923 -0.00475211 8.89544e-05 0.00979989
-1.75 0.0315789 19.7692 -0.0039735 7.53728e-05 0.00878726
-1.75 0.0315789 20.0462 -0.00336906 6.50062e-05 0.00786408
-1.75 0.0315789 20.3231 -0.00289565 5.71062e-05 0.00701833
-1.75 0.0315789 20.6 -0.0025233 5.11765e-05 0.0062361
-1.75 0.0315789 20.8769 -0.0022319 4.69233e-05 0.00550287
-1.75 0.0315789 21.1538 -0.00200987 4.42482e-05 0.00480405
-1.75 0.0315789 21.4308 -0.00185466 4.32834e-05 0.00412609
-1.75 0.0315789 21.7077 -0.0017743 4.44349e-05 0.00346108
-1.75 0.0315789 21.9846 -0.00178324 4.8211e-05 0.00282025
-1.75 0.0315789 22.2615 -0.00186863 5.41361e-05 0.00225038
-1.75 0.0315789 22.5385 -0.00192771 5.89248e-05 0.00178758
