#x y z Bx By Bz
0 0 -2 3.7048e-06 0 1.35602
0 0 -1.80303 3.77934e-06 0 1.73303
0 0 -1.60606 3.8559e-06 0 2.25972
0 0 -1.40909 3.93453e-06 0 3.00826
0 0 -1.21212 4.0153e-06 0 4.08147
0 0 -1.01515 4.0983e-06 0 5.60384
0 0 -0.818182 4.1836e-06 0 7.66023
0 0 -0.621212 4.27127e-06 0 10.1516
0 0 -0.424242 4.3614e-06 0 12.7087
0 0 -0.227273 4.45407e-06 0 14.9218
0 0 -0.030303 4.54939e-06 0 16.6261
0 0 0.166667 4.64743e-06 0 17.8665
0 0 0.363636 4.7483e-06 0 18.7438
0 0 0.560606 4.8521e-06 0 19.341
0 0 0.757576 4.95894e-06 0 19.7107
0 0 0.954545 5.06893e-06 0 19.8763
0 0 1.15152 5.18218e-06 0 19.833
0 0 1.34848 5.29881e-06 0 19.5612
0 0 1.54545 5.41896e-06 0 19.0525
0 0 1.74242 5.54275e-06 0 18.3323
0 0 1.93939 5.67033e-06 0 17.4681
0 0 2.13636 5.80183e-06 0 16.5364
0 0 2.33333 5.93741e-06 0 15.5801
0 0 2.5303 6.07723e-06 0 14.6156
0 0 2.72727 6.22145e-06 0 13.6664
0 0 2.92424 6.37024e-06 0 12.7612
0 0 3.12121 6.52379e-06 0 11.906
0 0 3.31818 6.68228e-06 0 11.092
0 0 3.51515 6.84592e-06 0 10.3244
0 0 3.71212 7.01491e-06 0 9.62033
0 0 3.90909 7.18947e-06 0 8.98097
0 0 4.10606 7.36983e-06 0 8.39133
0 0 4.30303 7.55622e-06 0 7.84616
0 0 4.5 7.74891e-06 0 7.35263
0 0 4.69697 7.94815e-06 0 6.90656
0 0 4.89394 8.15422e-06 0 6.49221
0 0 5.09091 8.36741e-06 0 6.10568
0 0 5.28788 8.58802e-06 0 5.75671
0 0 5.48485 8.81638e-06 0 5.44538
0 0 5.68182 9.05282e-06 0 5.15743
0 0 5.87879 9.2977e-06 0 4.8861
0 0 6.07576 9.55138e-06 0 4.63879
