#x y z Bx By Bz
-1.75 0 16 -0.00914564 -0.00018 -0.00182874
-1.75 0 16.3 -0.0141729 -0.000165492 -0.00349658
-1.75 0 16.6 -0.0199406 -0.000152392 -0.00304448
-1.75 0 16.9 -0.0249739 -0.000140544 6.88348e-05
-1.75 0 17.2 -0.0272925 -0.000129808 0.00521743
-1.75 0 17.5 -0.0260302 -0.000120063 0.0103673
-1.75 0 17.8 -0.022336 -0.000111203 0.0137377
-1.75 0 18.1 -0.0179991 -0.000103135 0.015055
-1.75 0 18.4 -0.0141006 -9.57758e-05 0.0149531
-1.75 0 18.7 -0.0109689 -8.90538e-05 0.0141098
-1.75 0 19 -0.00856992 -8.29045e-05 0.0129661
-1.75 0 19.3 -0.00676395 -7.72709e-05 0.0117575
-1.75 0 19.6 -0.00540823 -7.21027e-05 0.0105943
-1.75 0 19.9 -0.00438615 -6.73549e-05 0.00952022
-1.75 0 20.2 -0.00361011 -6.29876e-05 0.0085454
-1.75 0 20.5 -0.00301722 -5.89651e-05 0.00766396
-1.75 0 20.8 -0.00256455 -5.52557e-05 0.00686275
-1.75 0 21.1 -0.00222662 -5.18307e-05 0.00612617
-1.75 0 21.4 -0.00199549 -4.86647e-05 0.00544162
-1.75 0 21.7 -0.0018792 -4.57348e-05 0.0048139
-1.75 0 22 -0.00187171 -4.30202e-05 0.00429206
-1.75 0 22.3 -0.00186501 -4.05025e-05 0.00394052
-1.75 0 22.6 -0.00168888 -3.81648e-05 0.00367188
-1.75 0 22.9 -0.00139409 -3.59922e-05 0.00329301
-1.75 0 23.2 -0.00115764 -3.39708e-05 0.00280416
-1.75 0 23.5 -0.00101939 -3.20884e-05 0.00229404
-1.75 0 23.8 -0.000941287 -3.03336e-05 0.00180184
-1.75 0 24.1 -0.000868772 -2.86964e-05 0.00131579
-1.75 0 24.4 -0.000771445 -2.71674e-05 0.000745679
-1.75 0 24.7 -0.000804251 -2.57383e-05 -5.53004e-05
-1.75 0 25 -0.001425 -2.44014e-05 -0.000909865
-1.75 0 25.3 -0.00266645 -2.31496e-05 -0.000764871
-1.75 0 25.6 -0.00250718 -2.19766e-05 0.00129951
-1.75 0 25.9 0.00214698 -2.08765e-05 0.00243615
-1.75 0 26.2 0.00816688 -1.98441e-05 -0.00389445
-1.75 0 26.5 0.00436865 -1.88743e-05 -0.0160768
-1.75 0 26.8 -0.0119981 -1.79627e-05 -0.0197395
-1.75 0 27.1 -0.0259954 -1.71053e-05 -0.00347419
-1.75 0 27.4 -0.0120811 -1.62981e-05 0.0363905
-1.75 0 27.7 0.0304259 -1.55378e-05 -0.0356094
-1.75 0.0315789 16 -0.00914529 -1.51027e-05 -0.00182298
-1.75 0.0315789 16.3 -0.0141692 9.00663e-05 -0.00348984
-1.75 0.0315789 16.6 -0.0199326 0.000207155 -0.00303774
-1.75 0.0315789 16.9 -0.0249619 0.000309749 7.38005e-05
-1.75 0.0315789 17.2 -0.0272785 0.00036232 0.00521897
-1.75 0.0315789 17.5 -0.0260177 0.000349414 0.0103656
-1.75 0.0315789 17.8 -0.0223267 0.000291849 0.0137345
-1.75 0.0315789 18.1 -0.0179929 0.000221944 0.0150518
-1.75 0.0315789 18.4 -0.0140967 0.000159247 0.0149505
-1.75 0.0315789 18.7 -0.0109664 0.000109739 0.0141079
-1.75 0.0315789 19 -0.00856834 7.28719e-05 0.0129648
-1.75 0.0315789 19.3 -0.00676294 4.61913e-05 0.0117566
-1.75 0.0315789 19.6 -0.00540757 2.71883e-05 0.0105937
-1.75 0.0315789 19.9 -0.00438572 1.38254e-05 0.00951988
