#x y z Bx By Bz
0 0 -2 3.04326e-06 0.0059649 6.8286
0 0 -1.80303 3.10047e-06 0.00662865 8.88063
0 0 -1.60606 3.15911e-06 0.00737452 11.2143
0 0 -1.40909 3.21924e-06 0.00821219 13.5346
0 0 -1.21212 3.28089e-06 0.00915185 15.5418
0 0 -1.01515 3.34412e-06 0.0102039 17.0967
0 0 -0.818182 3.40898e-06 0.0113787 18.2196
0 0 -0.621212 3.47552e-06 0.0126852 18.994
0 0 -0.424242 3.54379e-06 0.0141308 19.4898
0 0 -0.227273 3.61385e-06 0.0157187 19.75
0 0 -0.030303 3.68576e-06 0.0174464 19.8084
0 0 0.166667 3.75958e-06 0.0193024 19.6925
0 0 0.363636 3.83538e-06 0.0212622 19.4082
0 0 0.560606 3.91321e-06 0.0232836 18.945
0 0 0.757576 3.99314e-06 0.0253009 18.3068
0 0 0.954545 4.07525e-06 0.0272195 17.526
0 0 1.15152 4.15962e-06 0.0289099 16.641
0 0 1.34848 4.24631e-06 0.0302062 15.6695
0 0 1.54545 4.33541e-06 0.0309081 14.615
0 0 1.74242 4.427e-06 0.0307926 13.4881
0 0 1.93939 4.52116e-06 0.0296366 12.3014
0 0 2.13636 4.61799e-06 0.0272516 11.0434
0 0 2.33333 4.71759e-06 0.023529 9.68599
0 0 2.5303 4.82003e-06 0.0184839 8.2521
0 0 2.72727 4.92544e-06 0.0122874 6.88789
0 0 2.92424 5.03391e-06 0.00526933 5.81906
0 0 3.12121 5.14555e-06 -0.00211504 5.19645
0 0 3.31818 5.26048e-06 -0.00935138 5.00296
0 0 3.51515 5.37882e-06 -0.0159494 5.05484
0 0 3.71212 5.50069e-06 -0.0215193 5.09397
0 0 3.90909 5.62622e-06 -0.02582 5.00418
0 0 4.10606 5.75554e-06 -0.0287721 4.92353
0 0 4.30303 5.8888e-06 -0.0304361 5.02749
0 0 4.5 6.02614e-06 -0.030972 5.238
0 0 4.69697 6.16771e-06 -0.030593 5.29901
0 0 4.89394 6.31368e-06 -0.0295256 5.11722
0 0 5.09091 6.4642e-06 -0.0279818 4.81309
0 0 5.28788 6.61945e-06 -0.0261432 4.51679
0 0 5.48485 6.77962e-06 -0.0241548 4.27875
0 0 5.68182 6.94487e-06 -0.0221255 4.10439
0 0 5.87879 7.11542e-06 -0.0201329 3.98173
0 0 6.07576 7.29145e-06 -0.0182284 3.88505
0 0 6.27273 7.47319e-06 -0.0164436 3.79263
0 0 6.4697 7.66084e-06 -0.0147949 3.69745
0 0 6.66667 7.85463e-06 -0.0132884 3.59564
0 0 6.86364 8.05481e-06 -0.0119228 3.46562
0 0 7.06061 8.2616e-06 -0.0106926 3.27673
0 0 7.25758 8.47527e-06 -0.00958905 3.02037
0 0 7.45455 8.69607e-06 -0.00860242 2.73567
0 0 7.65152 8.92427e-06 -0.00772225 2.4862
0 0 7.84848 9.16014e-06 -0.00693819 2.30154
0 0 8.04545 9.40397e-06 -0.00624033 2.17477
0 0 8.24242 9.65604e-06 -0.0056194 2.09263
0 0 8.43939 9.91665e-06 -0.00506689 2.04337
0 0 8.63636 1.01861e-05 -0.00457506 2.01266
0 0 8.83333 1.04647e-05 -0.00413698 1.99182
0 0 9.0303 1.07527e-05 -0.00374644 1.98317
0 0 9.22727 1.10504e-05 -0.00339794 1.99413
0 0 9.42424 1.13582e-05 -0.0030866 2.02641
0 0 9.62121 1.16762e-05 -0.0028081 2.07652
0 0 9.81818 1.20048e-05 -0.00255867 2.12694
0 0 10.0152 1.23441e-05 -0.00233497 2.11888
0 0 10.2121 1.26943e-05 -0.00213405 1.97743
0 0 10.4091 1.30557e-05 -0.00195334 1.73244
0 0 10.6061 1.34281e-05 -0.00179057 1.54083
0 0 10.803 1.38117e-05 -0.00164375 1.50698
0 0 11 1.42061e-05 -0.00151111 1.58361
0 0 11.197 1.46112e-05 -0.00139112 1.67598
0 0 11.3939 1.50264e-05 -0.00128241 1.74466
0 0 11.5909 1.54509e-05 -0.00118377 1.78758
0 0 11.7879 1.58836e-05 -0.00109415 1.80914
0 0 11.9848 1.63228e-05 -0.00101261 1.81763
0 0 12.1818 1.67664e-05 -0.000938311 1.82357
0 0 12.3788 1.72113e-05 -0.000870525 1.83019
0 0 12.5758 1.76536e-05 -0.000808596 1.83279
0 0 12.7727 1.80878e-05 -0.000751944 1.83018
0 0 12.9697 1.85066e-05 -0.000700052 1.82795
0 0 13.1667 1.89003e-05 -0.00065246 1.82993
0 0 13.3636 1.92557e-05 -0.000608757 1.83135
0 0 13.5606 1.95547e-05 -0.000568577 1.82814
0 0 13.7576 1.97727e-05 -0.000531592 1.82372
0 0 13.9545 1.98754e-05 -0.000497509 1.82357
0 0 14.1515 1.98152e-05 -0.000466063 1.82503
0 0 14.3485 1.95237e-05 -0.000437018 1.82244
0 0 14.5455 1.89027e-05 -0.000410162 1.81674
0 0 14.7424 1.78068e-05 -0.000385303 1.81395
0 0 14.9394 1.60172e-05 -0.000362269 1.81423
0 0 15.1364 1.31946e-05 -0.000340903 1.81134
0 0 15.3333 8.79785e-06 -0.000321067 1.80351
0 0 15.5303 1.93171e-06 -0.000302631 1.79576
0 0 15.7273 -8.94717e-06 -0.00028548 1.79064
0 0 15.9242 -2.66325e-05 -0.000269511 1.78198
